detection_id,symbol,reason,tier,pivot_dist,target_new,target_legacy,target_code,breakout_price
bump_and_run_reversal_bottoms:000181,BSG,ok,standard,19.0,17.0,12.6,12.6,11.0
bump_and_run_reversal_bottoms:000182,BSI,ok,standard,13.0,4.24,4.15,4.15,3.9
bump_and_run_reversal_bottoms:000183,BSI,ok,premium,11.0,8.1,7.58,7.58,6.11
bump_and_run_reversal_bottoms:000184,BSI,ok,standard,21.0,7.94,7.16,7.16,6.14
bump_and_run_reversal_bottoms:000185,BSI,ok,standard,23.0,7.15,5.84,5.84,4.94
bump_and_run_reversal_bottoms:000186,BSI,no_pivot_fits_lead_in,premium,,,36.04,36.04,25.98
bump_and_run_reversal_bottoms:000187,BSI,ok,premium,11.0,30.24,30.24,30.24,16.45
bump_and_run_reversal_bottoms:000188,BSL,ok,data_limited,249.0,9.48,7.25,7.25,6.56
bump_and_run_reversal_bottoms:000189,BSP,no_pivot_fits_lead_in,data_limited,,,10.818,10.82,9.55
bump_and_run_reversal_bottoms:000190,BSQ,ok,data_limited,162.0,23.73,18.86,18.86,16.03
bump_and_run_reversal_bottoms:000191,BSR,no_pivot_fits_lead_in,standard,,,15.05,15.05,12.86
bump_and_run_reversal_bottoms:000192,BT1,no_pivot_fits_lead_in,data_limited,,,11.16,11.16,10.38
bump_and_run_reversal_bottoms:000193,BT6,ok,data_limited,100.0,5.3,2.8,2.8,1.6
bump_and_run_reversal_bottoms:000194,BT6,ok,data_limited,3.0,2.7,2.7,2.7,2.1
bump_and_run_reversal_bottoms:000195,BT6,ok,data_limited,26.0,6.2,4.7,4.7,4.3
bump_and_run_reversal_bottoms:000196,BTB,no_pivot_fits_lead_in,data_limited,,,6.5,6.5,4.9
bump_and_run_reversal_bottoms:000197,BTD,no_pivot_fits_lead_in,premium,,,9.32,9.32,7.9
bump_and_run_reversal_bottoms:000198,BTD,ok,data_limited,13.0,11.67,11.49,11.49,9.98
bump_and_run_reversal_bottoms:000199,BTN,ok,data_limited,220.0,5.6,3.9,3.9,3.4
bump_and_run_reversal_bottoms:000200,BTP,no_pivot_fits_lead_in,standard,,,8.3,8.3,7.48
bump_and_run_reversal_bottoms:000201,BTS,ok,data_limited,43.0,8.1,7.62,7.62,6.26
bump_and_run_reversal_bottoms:000202,BTT,no_pivot_fits_lead_in,data_limited,,,29.527,29.53,24.88
bump_and_run_reversal_bottoms:000203,BTT,no_pivot_fits_lead_in,data_limited,,,37.517,37.52,35.23
bump_and_run_reversal_bottoms:000204,BTU,no_pivot_fits_lead_in,data_limited,,,12.42,13.22,11.49
bump_and_run_reversal_bottoms:000205,BTV,ok,data_limited,36.0,43.81,25.71,25.71,15.14
bump_and_run_reversal_bottoms:000206,BTW,ok,data_limited,30.0,7.49,7.13,7.13,6.17
bump_and_run_reversal_bottoms:000207,BTW,no_pivot_fits_lead_in,data_limited,,,9.88,9.88,8.68
bump_and_run_reversal_bottoms:000208,BVB,ok,standard,23.0,17.7,14.8,14.8,13.2
bump_and_run_reversal_bottoms:000209,BVB,ok,data_limited,46.0,15.1,15.1,15.1,12.4
bump_and_run_reversal_bottoms:000210,BVH,ok,standard,12.0,49.73,49.49,49.49,45.69
bump_and_run_reversal_bottoms:000211,BVH,ok,premium,5.0,45.39,45.22,45.22,39.24
bump_and_run_reversal_bottoms:000212,BVL,no_pivot_fits_lead_in,data_limited,,,33.633,33.65,27.53
bump_and_run_reversal_bottoms:000213,BVL,ok,data_limited,14.0,11.65,10.089,10.1,8.1
bump_and_run_reversal_bottoms:000214,BVN,ok,data_limited,21.0,9.45,8.95,8.95,7.53
bump_and_run_reversal_bottoms:000215,BVN,no_pivot_fits_lead_in,data_limited,,,8.42,8.42,6.73
bump_and_run_reversal_bottoms:000216,BVN,ok,data_limited,3.0,15.0,14.9,14.9,12.5
bump_and_run_reversal_bottoms:000217,BVS,no_pivot_fits_lead_in,standard,,,11.8,11.8,9.92
bump_and_run_reversal_bottoms:000218,BVS,no_pivot_fits_lead_in,standard,,,11.11,11.11,9.22
bump_and_run_reversal_bottoms:000219,BVS,ok,premium,32.0,11.11,10.2,10.2,8.17
bump_and_run_reversal_bottoms:000220,BVS,ok,standard,154.0,13.61,11.01,11.01,8.47
bump_and_run_reversal_bottoms:000221,BVS,no_pivot_fits_lead_in,standard,,,28.49,28.49,23.28
bump_and_run_reversal_bottoms:000222,BVS,ok,premium,6.0,43.11,43.11,43.11,35.35
bump_and_run_reversal_bottoms:000223,BVS,no_pivot_fits_lead_in,premium,,,43.94,43.94,33.3
bump_and_run_reversal_bottoms:000224,BWE,ok,premium,64.0,19.65,18.02,18.02,14.28
bump_and_run_reversal_bottoms:000225,C21,ok,premium,3.0,22.81,22.15,22.15,15.835
bump_and_run_reversal_bottoms:000226,C32,ok,premium,23.0,11.06,10.71,10.71,8.63
bump_and_run_reversal_bottoms:000227,C47,ok,loose,3.0,7.52,7.34,7.34,6.41
bump_and_run_reversal_bottoms:000228,C47,ok,premium,6.0,9.49,8.89,8.89,7.25
bump_and_run_reversal_bottoms:000229,C47,ok,premium,18.0,7.74,7.26,7.26,6.31
bump_and_run_reversal_bottoms:000230,C4G,no_pivot_fits_lead_in,standard,,,5.99,5.99,4.43
bump_and_run_reversal_bottoms:000231,C4G,ok,standard,23.0,9.7,9.4,9.4,8.2
bump_and_run_reversal_bottoms:000232,CAG,no_pivot_fits_lead_in,standard,,,8.4,8.4,7.6
bump_and_run_reversal_bottoms:000233,CAN,no_pivot_fits_lead_in,data_limited,,,23.505,23.51,20.4
bump_and_run_reversal_bottoms:000234,CAP,ok,loose,65.0,7.88,5.76,5.76,4.53
bump_and_run_reversal_bottoms:000235,CAP,ok,standard,61.0,8.18,7.45,7.45,6.86
bump_and_run_reversal_bottoms:000236,CAT,no_pivot_fits_lead_in,data_limited,,,15.83,15.83,12.17
bump_and_run_reversal_bottoms:000237,CAT,ok,standard,114.0,13.65,11.96,11.96,10.41
